game_name,average_score,gb_review_count,original_release_date,id,name,Genre1,Genre2,Genre3,Genre4,Genre5,Involved_company1,Involved_company2,rating,rating_count,franchise_len,first_release_date,multiplayer
Alpha Protocol,0.6952380952380952,2058,2010-05-27,2539,Alpha Protocol,5,12,0,0,0,47,112,74.58656498071494,127,1,1275004800,0
Altitude,0.7,588,2009-12-04,2357,Altitude,5,13,32,0,0,1116,,80,3,1,1241136000,0
American McGee's Alice,0.8,49,2000-10-06,337,American McGee's Alice,8,9,31,0,0,133,1,73.95626781424177,105,1,976060800,0
Amped: Freestyle Snowboarding,0.8,98,2001-11-20,5484,Amped: Freestyle Snowboarding,14,0,0,0,0,53,2317,70.08499938836292,6,1,1006128000,0
Amplitude,0.76,245,2016-01-05,11081,Amplitude,7,33,0,0,0,843,,73.23658731111556,14,1,1451952000,0
Animal Crossing: Happy Home Designer,0.6,49,2015-07-30,10143,Animal Crossing: Happy Home Designer,13,0,0,0,0,70,1246,60.91856778867835,20,1,1438214400,0
Anno 2070,0.8,392,2011-11-17,2959,Anno 2070,11,13,15,0,0,647,646,75.37592553269646,82,1,1321488000,0
Anodyne 2: Return to Dust,1.0,49,2019-08-12,104890,Anodyne 2: Return to Dust,8,12,31,32,0,27072,27073,68.83037560717548,16,1,1565568000,0
Aragami,0.2,49,2016-10-04,18853,Aragami,31,32,0,0,0,4726,9579,73.206724697386,67,1,1475539200,1
Arizona Sunshine,0.8,49,2016-12-06,18303,Arizona Sunshine,5,31,32,0,0,4096,9383,61.60033743398085,18,1,1480982400,1
Armadillo Run,0.8,49,2006-04-22,23137,Armadillo Run,9,0,0,0,0,0,0,76.64592672739984,6,1,1145664000,0
Arx Fatalis,0.75,392,2002-11-11,602,Arx Fatalis,9,12,31,0,0,236,19,78.30911863528199,47,1,1025222400,0
Assassin's Creed,0.7566666666666666,5880,2007-11-13,128,Assassin's Creed,8,31,0,0,0,38,104,73.27142728870818,1506,1,1194912000,0
Assassin's Creed III: Liberation,0.6,245,2012-10-30,3195,Assassin's Creed III: Liberation,15,25,31,0,0,840,899,60.60922104452828,148,1,1351555200,0
Assassin's Creed Unity,0.475,392,2014-11-11,5606,Assassin's Creed Unity,12,31,0,0,0,38,822,71.82868921362922,746,1,1415664000,1
Assassin's Creed: Freedom Cry,0.8,49,2014-02-18,3775,Assassin's Creed: Freedom Cry,31,0,0,0,0,38,15790,70.56652648999813,174,1,1387238400,0
Assault Android Cactus,1.0,98,2015-09-23,8644,Assault Android Cactus,5,32,33,0,0,4616,,75.9946562618362,18,1,1442966400,1
Atelier Annie: Alchemists of Sera Island,0.6,49,2009-10-27,24262,Atelier Annie: Alchemists of Sera Island,12,13,31,0,0,3046,2262,53.16751510036135,6,1,1236816000,0
Atom Zombie Smasher,0.7333333333333333,147,2011-01-23,8388,Atom Zombie Smasher,15,24,32,0,0,3921,,73.6476802098534,7,1,1300060800,1
Atomic Punk,0.4,98,,7760,Atomic Punk,9,0,0,0,0,864,,68.80328693269912,5,1,652060800,0
Atomic Punk,0.4,98,,18937,Atomic Punk,33,0,0,0,0,1287,864,75.8484430954842,11,1,694137600,0
Audiosurf,0.8857142857142858,1372,2008-02-15,2956,Audiosurf,7,9,32,0,0,5196,,75.13378146257344,114,1,1203033600,1
Awesomenauts,0.8,98,2012-05-01,1281,Awesomenauts,8,15,32,36,0,835,,67.02906408145297,57,1,1335830400,1
Axiom Verge,0.8571428571428571,1372,2015-03-31,8652,Axiom Verge,8,31,32,0,0,4834,4602,75.42492487312511,121,1,1427760000,0
Back to the Future,0.6,147,1986-05-05,8516,Back to the Future,33,0,0,0,0,804,2566,45.22686201825198,10,1,622252800,0
Bad Hotel,0.4,49,2012-08-14,9982,Bad Hotel,11,15,32,33,0,5358,,40,2,1,1344902400,0
Baldur's Gate: Dark Alliance,0.76,245,2001-12-02,83,Baldur's Gate: Dark Alliance,12,25,0,0,0,78,5057,81.81795984647212,61,1,1007251200,1
Balloon Fight,0.7,98,,2735,Balloon Fight,8,31,33,0,0,70,762,64.29997402414446,88,1,475200000,1
Banished,0.8,98,2014-02-18,2002,Banished,11,13,15,32,0,936,,71.68757005744625,163,1,1392681600,0
Banjo-Kazooie,0.9199999999999999,1470,1998-06-29,2148,Banjo-Kazooie,8,26,31,0,0,70,771,85.10148116565391,288,1,899078400,0
Banjo-Kazooie,0.9199999999999999,1470,1998-06-29,201644,Banjo-Kazooie,8,0,0,0,0,771,128,71.20961228672166,5,1,1228262400,0
Bart Simpson's Escape from Camp Deadly,0.6,49,1991-11-22,2829,Bart Simpson's Escape from Camp Deadly,8,0,0,0,0,287,191,55,3,1,688953600,0
Baten Kaitos Origins,0.8,49,2006-09-25,3796,Baten Kaitos Origins,12,31,0,0,0,70,1913,81.40488782370593,7,1,1140652800,0
Batman Begins,0.8,196,2005-06-14,3063,Batman Begins,31,0,0,0,0,425,1,66.47421367906479,24,1,1121299200,0
Batman: Arkham Asylum,0.9465648854961832,12838,2009-08-25,500,Batman: Arkham Asylum,25,31,0,0,0,4,3989,85.92180411720457,2182,1,1251158400,0
Batman: The Video Game,0.8,49,1989-12-22,10510,Batman: The Video Game,8,25,0,0,0,251,,65.65725684448344,49,1,649036800,0
Batman: The Video Game,0.8,49,1989-12-22,49226,Batman: The Video Game,8,0,0,0,0,251,,73.7552237341421,34,1,630288000,0
BattleForge,0.8,98,2009-03-24,18487,BattleForge,11,15,16,35,0,9455,1,77.8252331374846,8,1,1237766400,0
Battlefield 2,0.9454545454545455,1078,2005-06-21,277,Battlefield 2,5,0,0,0,0,1,137,81.69856256417222,298,1,1119312000,1
Battlefield 2042,0.2,147,2021-11-12,125166,Battlefield 2042,5,31,0,0,0,1,94,53.36599810835136,58,1,1622505600,1
Battlefleet Gothic: Armada,0.8,49,2016-04-21,8713,Battlefleet Gothic: Armada,11,15,24,0,0,5067,110,50,3,1,1461196800,0
Battleship,0.25,196,2012-05-15,4710,Battleship,5,11,15,16,0,160,66,70,3,1,1334707200,0
Battleship,0.25,196,2012-05-15,22445,Battleship,13,15,35,0,0,6970,104,80,0,1,1470096000,1
Battletoads,0.7333333333333333,147,,2970,Battletoads,8,25,0,0,0,489,10068,76.75576812258483,117,1,675734400,1
Battletoads,0.7333333333333333,147,,14591,Battletoads,4,25,0,0,0,1,771,70.72250191225886,17,1,786240000,1
Battletoads,0.7333333333333333,147,,103289,Battletoads,4,8,25,31,0,771,10625,66.19436513726349,23,1,1597881600,1
Bayonetta 3,0.4,196,2022-10-28,76888,Bayonetta 3,25,0,0,0,0,852,70,79.62585024358197,20,1,1666915200,0
Beat Hazard,0.8,1372,2011-06-15,7404,Beat Hazard,5,7,32,33,0,12346,,80.30045909515357,38,1,1271289600,0
Below,0.4,49,2018-12-14,3231,Below,12,31,32,0,0,1398,1010,72.59267823436785,19,1,1544745600,0
Bezier,0.8,49,2016-03-03,22139,Bezier,5,32,33,0,0,0,0,70,0,1,1456963200,0
Bientôt l'été,0.2,49,2013-02-06,15421,Bientôt l'été,13,32,0,0,0,5055,,50,1,1,1357171200,0
Big Bang Mini,0.8400000000000001,245,2009-01-21,18549,Big Bang Mini,5,9,33,0,0,5089,1327,83,2,1,1232409600,0
Big Brain Academy,0.2,98,2005-06-30,2744,Big Brain Academy,9,0,0,0,0,1048,70,57.98105561605945,8,1,1149465600,0
BioForge,1.0,147,1995-03-29,2213,BioForge,9,31,0,0,0,295,295,72.04728359403724,13,1,796435200,0
BlazBlue: Continuum Shift,0.9333333333333333,147,2009-11-20,6750,BlazBlue: Continuum Shift,4,33,0,0,0,1218,2103,75.67786681736372,10,1,1258675200,0
BlazBlue: Continuum Shift Extend,0.9,196,2011-12-17,6920,BlazBlue: Continuum Shift Extend,4,33,0,0,0,1218,2103,69.12450766052127,24,1,1315180800,0
Blood,0.9,98,1997-05-31,7644,Blood,5,0,0,0,0,407,205,80.91735015998914,75,1,865036800,0
Blood Knights,0.2,49,,8421,Blood Knights,12,0,0,0,0,783,2172,56.83125339120998,11,1,1383264000,1
Bloodstained: Curse of the Moon,1.0,49,2018-05-24,101176,Bloodstained: Curse of the Moon,8,31,32,0,0,2344,,79.72948405602347,70,1,1527033600,0
Bomberman '93,1.0,49,1992-12-11,42097,Bomberman '93,33,0,0,0,0,864,,70.29405683567278,7,1,724032000,0
Bram Stoker's Dracula,0.4666666666666667,882,1993-01-01,5366,Bram Stoker's Dracula,8,25,31,0,0,292,2351,59.9508072090417,7,1,746841600,0
Bram Stoker's Dracula,0.4666666666666667,882,1993-01-01,14340,Bram Stoker's Dracula,8,0,0,0,0,1098,2351,62.89518890217879,7,1,757296000,0
Breach,0.6,196,2011-01-26,94147,Breach,12,0,0,0,0,16246,,50,1,1,1547683200,0
Breakout,0.6,49,2000-09-22,2754,Breakout,33,0,0,0,0,82,13460,79.01601078877727,38,1,200793600,1
Breath of Fire,0.6,49,1993-04-03,11617,Breath of Fire,12,0,0,0,0,324,37,74.68212458764461,41,1,733795200,0
Breath of Fire: Dragon Quarter,0.4,147,2002-11-14,18056,Breath of Fire: Dragon Quarter,12,15,0,0,0,37,,88.94124325933511,14,1,1037232000,0
Breathing Fear,0.4,98,,31135,Breathing Fear,9,31,32,0,0,18093,,60,0,1,1475798400,0
Brothers in Arms: Earned in Blood,0.8666666666666666,294,2005-10-04,617,Brothers in Arms: Earned in Blood,5,15,24,0,0,148,13,71.76034260562719,54,1,1128384000,0
Brutal: Paws of Fury,0.2,98,1994-10-01,4449,Brutal: Paws of Fury,4,0,0,0,0,1019,425,59.67507095285583,10,1,780969600,0
Brute Force,0.6,49,2003-05-27,5759,Brute Force,5,24,0,0,0,53,1140,68.97542396388246,12,1,1053993600,1
Burnout 2: Point of Impact,0.8,49,2002-09-30,3840,Burnout 2: Point of Impact,10,0,0,0,0,287,347,76.08967647716707,50,1,1033344000,0
Bus Driver,0.6,147,2007-03-22,10068,Bus Driver,10,13,32,0,0,1443,,57.63096312834246,10,1,1174521600,0
Bushido Blade,1.0,98,1997-09-30,1418,Bushido Blade,4,25,0,0,0,4106,250,78.5646639720442,22,1,858297600,0
Cabela's Big Game Hunter 2010,0.7,196,2009-09-22,4736,Cabela's Big Game Hunter 2010,5,0,0,0,0,66,,80,0,1,1254182400,0
Call of Duty 2,0.9047619047619048,2058,2005-10-25,622,Call of Duty 2,5,0,0,0,0,66,438,83.540981519876,859,1,1130198400,0
Call of Duty 2,0.9047619047619048,2058,2005-10-25,119160,Call of Duty 2,5,0,0,0,0,3582,20310,69.82153689346943,18,1,1167523200,0
Call of Duty 2: Big Red One,0.9333333333333333,588,2005-11-01,3845,Call of Duty 2: Big Red One,5,0,0,0,0,66,129,74.82702942549919,49,1,1130803200,0
Call of Duty 3,0.7238095238095238,2058,2006-11-07,949,Call of Duty 3,5,0,0,0,0,66,428,70.99295757673558,256,1,1162857600,0
Call of Duty 4: Modern Warfare,0.9358974358974359,7644,2007-11-05,623,Call of Duty 4: Modern Warfare,5,13,0,0,0,438,66,84.41956028240986,1512,1,1194220800,1
Call of Duty: Advanced Warfare,0.7636363636363637,1078,2014-11-03,6632,Call of Duty: Advanced Warfare,5,0,0,0,0,66,659,71.97123331387031,501,1,1414972800,1
Call of Juarez: Gunslinger,0.8666666666666666,441,2013-05-21,1976,Call of Juarez: Gunslinger,5,31,33,0,0,108,,78.38149266349089,271,1,1369094400,0
Canabalt,0.6,196,2009-10-02,2270,Canabalt,8,32,33,0,0,1063,5462,73.52343708525959,18,1,1251763200,0
Capcom Fighting Evolution,0.5,196,,99551,Capcom Fighting Evolution,4,0,0,0,0,892,37,51.08471914673656,6,1,1096588800,1
Carcassonne,0.8,98,2007-06-27,75582,Carcassonne,9,15,16,35,0,6970,11941,73.33386393800284,14,1,1511913600,1
Carcassonne,0.8,98,2007-06-27,81495,Carcassonne,15,16,35,0,0,27504,,79.66419174887059,5,1,1275523200,0
Cargo Commander,1.0,49,2012-11-01,7880,Cargo Commander,5,8,31,32,0,3827,2561,80,4,1,1351728000,0
Cargo! The Quest for Gravity,0.6,49,2011-04-21,9792,Cargo! The Quest for Gravity,8,13,31,0,0,1701,731,44,4,1,1303344000,0
Cartoon Network Racing,0.6,147,2006-12-04,2785,Cartoon Network Racing,10,0,0,0,0,1001,1310,50.35386498674229,6,1,1164672000,0
Castlevania II: Belmont's Revenge,1.0,49,1991-07-12,1123,Castlevania II: Belmont's Revenge,8,31,0,0,0,129,,70.08176580204047,38,1,679276800,0
Castlevania II: Simon's Quest,0.85,392,1987-08-28,1116,Castlevania II: Simon's Quest,8,12,31,0,0,129,129,58.52384813683407,117,1,557107200,0
Castlevania: Circle of the Moon,0.8,196,2001-03-21,1132,Castlevania: Circle of the Moon,8,12,31,0,0,129,812,66.20369090941173,94,1,985132800,0
Castlevania: Lords of Shadow 2,0.6,882,2014-02-25,1182,Castlevania: Lords of Shadow 2,25,31,0,0,0,129,169,73.29209366683509,105,1,1393286400,0
Castlevania: Order of Ecclesia,0.825,784,2008-10-21,1141,Castlevania: Order of Ecclesia,8,9,12,25,31,129,,83.24537447179743,73,1,1224547200,0
Cave Story 3D,0.8,98,2011-11-08,11783,Cave Story 3D,8,31,0,0,0,2262,,89.10982060195394,5,1,1320710400,0
Champions: Return to Arms,0.7333333333333333,147,2005-02-07,10237,Champions: Return to Arms,12,25,0,0,0,78,907,79.4891794825709,16,1,1107734400,1
Child of Eden,0.8666666666666666,588,2011-06-14,6936,Child of Eden,5,7,0,0,0,786,,63.06823155185472,15,1,1308009600,0
Child of Light,0.6666666666666667,294,2014-04-29,4756,Child of Light,8,12,31,0,0,38,104,81.9299065418503,317,1,1398729600,1
Children of Mana,0.8,49,2006-11-01,14988,Children of Mana,12,31,0,0,0,26,2862,62.78464380520349,11,1,1141257600,1
Cibele,0.7,196,2015-11-02,14702,Cibele,12,31,32,0,0,7319,,64.85854679396436,14,1,1446422400,0
Cladun X2,0.7,98,2011-08-30,15284,Cladun X2,7,12,32,0,0,2261,2262,80,2,1,1314662400,0
ClayFighter,0.6,98,1993-11-15,46687,ClayFighter,4,0,0,0,0,24213,694,53.54208016626834,17,1,753321600,1
Clubhouse Games,0.8,294,2006-09-29,18597,Clubhouse Games,9,15,16,26,35,70,9246,79.48155505020001,6,1,1130976000,0
Cogs,0.8,147,2009-04-14,9984,Cogs,9,32,0,0,0,5360,,74.96104060651871,13,1,1239667200,0
Comix Zone,0.8,49,,3071,Comix Zone,9,25,33,0,0,112,1444,75.67978574567354,105,1,807235200,0
Command & Conquer,0.9,294,1995-01-01,647,Command & Conquer,11,15,0,0,0,141,113,84.56865847159273,284,1,812073600,0
Command & Conquer 3: Kane's Wrath,0.8,98,2008-03-24,707,Command & Conquer 3: Kane's Wrath,11,13,15,0,0,140,635,79.60975499099833,48,1,1206316800,0
Command & Conquer: Generals,0.9,98,2003-02-10,649,Command & Conquer: Generals,11,15,0,0,0,496,1,80.37596048844358,199,1,1044835200,0
Command & Conquer: Red Alert 3,0.7555555555555555,441,2008-10-28,959,Command & Conquer: Red Alert 3,11,13,15,0,0,140,1,74.42646220658965,179,1,1225152000,0
Commandos: Strike Force,0.6,49,2006-04-04,275,Commandos: Strike Force,5,0,0,0,0,498,4,64.51596740293962,25,1,1142553600,0
Conan,0.6,392,2007-10-23,9006,Conan,5,25,31,0,0,197,182,63.13109479549492,15,1,1190937600,0
Condemned: Criminal Origins,0.819047619047619,2058,2005-11-15,6942,Condemned: Criminal Origins,5,9,31,0,0,50,112,80.58600874544601,143,1,1132099200,0
Conflict: Desert Storm,0.7,196,2002-09-30,3863,Conflict: Desert Storm,5,24,0,0,0,485,1935,70.1588876473079,25,1,1031875200,1
Confrontation,0.6,49,,10104,Confrontation,12,15,0,0,0,110,404,40,4,1,1333497600,0
Contra,0.9199999999999999,735,1987-02-20,4598,Contra,5,8,33,0,0,129,,81.84953843894056,249,1,539136000,1
Contra,0.9199999999999999,735,1987-02-20,186207,Contra,5,8,0,0,0,129,,79.99514163795857,36,1,570758400,1
Control,0.9333333333333333,588,2019-08-27,103329,Control,5,31,0,0,0,445,305,83.37826170468311,629,1,1566864000,0
"Cook, Serve, Delicious!",0.9333333333333333,294,2012-10-05,11238,"Cook, Serve, Delicious!",9,13,15,32,0,10803,,83.71785716087297,33,1,1349395200,1
Corpse Party,1.0,49,1996-04-22,21843,Corpse Party,9,12,31,32,34,8207,2187,79.17695923948057,27,1,1321920000,0
Corpse Party,1.0,49,1996-04-22,178111,Corpse Party,12,31,0,0,0,18956,2187,71.01609721068486,11,1,1407974400,0
Cortex Command,1.0,196,2012-09-28,10428,Cortex Command,5,15,31,32,0,6948,,67.31343283582089,7,1,1348790400,1
Counter-Strike: Global Offensive,0.8545454545454545,539,2012-08-21,1372,Counter-Strike: Global Offensive,5,24,0,0,0,150,56,81.9581622041371,1111,1,1345507200,0
Crackdown,0.7741935483870968,3038,2007-02-20,2896,Crackdown,4,5,12,31,0,53,733,73.1341319630333,78,1,1171929600,1
Crackdown 2,0.625,1176,2010-07-06,2897,Crackdown 2,5,31,0,0,0,53,1359,67.92610203297359,32,1,1278374400,1
Crackdown 3,0.65,196,2019-02-15,7333,Crackdown 3,5,0,0,0,0,1010,6155,68.20253948865742,34,1,1550188800,1
Cradle,0.8,294,2015-07-25,11341,Cradle,31,32,0,0,0,6016,,71.4695592997037,8,1,1437696000,0
Crazy Machines 2,0.8,98,2007-10-15,9803,Crazy Machines 2,9,15,0,0,0,2141,538,50,2,1,1213920000,0
Cris Tales,0.2,49,2021-07-20,119349,Cris Tales,12,31,32,0,0,20498,20497,77.86256515332934,8,1,1626652800,0
Critter Crunch,1.0,98,2009-09-08,13188,Critter Crunch,9,32,33,0,0,1398,1398,80,4,1,1199059200,1
Crysis 2,0.7877551020408163,4802,2011-03-22,471,Crysis 2,5,31,0,0,0,122,1,77.49073463875126,514,1,1300752000,1
Cubic Ninja,0.2,49,2011-06-14,6754,Cubic Ninja,8,9,31,0,0,2213,,55,1,1,1302134400,0
Cuphead,0.9333333333333333,147,2017-09-29,9061,Cuphead,5,8,32,33,0,4796,,85.02738531003902,654,1,1506643200,1
Cuphead,0.9333333333333333,147,2017-09-29,237497,Cuphead,5,8,32,33,0,4796,,89.81683334547027,10,1,1569715200,0
Cut the Rope,0.8,49,2010-10-05,9761,Cut the Rope,9,32,33,0,0,5226,2255,78.46394642722514,61,1,1285891200,0
Dance Central,0.8,98,2019-05-21,18953,Dance Central,7,0,0,0,0,843,1261,79.33068613847914,8,1,1288828800,0
Danganronpa 2: Goodbye Despair,0.7,196,2012-07-26,9694,Danganronpa 2: Goodbye Despair,2,31,34,0,0,2262,1217,83.59149546232801,211,1,1343260800,0
Danganronpa Another Episode: Ultra Despair Girls,0.8,49,2014-09-25,9708,Danganronpa Another Episode: Ultra Despair Girls,5,9,25,31,0,1217,2262,71.5825635367521,62,1,1441065600,0
Danger Zone,0.4,147,2017-05-30,28242,Danger Zone,10,32,0,0,0,10349,,60,3,1,1496102400,0
Dark Souls II: Scholar of the First Sin,0.6,98,2015-04-01,8222,Dark Souls II: Scholar of the First Sin,12,31,0,0,0,1012,248,83.21169288127321,310,1,1427932800,1
DarkStar One: Broken Alliance,0.8,98,2010-10-20,20414,DarkStar One: Broken Alliance,5,12,13,0,0,783,3006,75,1,1,1213747200,0
Darkest Dungeon,0.8666666666666666,147,2016-01-19,8965,Darkest Dungeon,12,15,16,31,32,4602,7912,83.00126297862982,335,1,1422921600,0
Darkstalkers Chronicle: The Chaos Tower,0.8,294,2005-03-24,20011,Darkstalkers Chronicle: The Chaos Tower,4,33,0,0,0,37,,71.73561648153714,6,1,1102809600,0
Darkstalkers Resurrection,0.8,196,2013-03-12,20013,Darkstalkers Resurrection,4,33,0,0,0,37,,69.9616213967022,9,1,1363046400,0
Darwinia,0.85,196,2005-12-14,661,Darwinia,11,15,24,32,0,632,1224,70.62426792169217,14,1,1109894400,0
Dave the Diver,0.8,147,2022-10-27,203722,Dave the Diver,12,13,31,0,0,41489,41489,78.81056303540228,35,1,1666828800,0
DayZ,0.8,49,2013-12-13,2117,DayZ,5,12,13,24,31,116,,47.43343181113174,104,1,1544659200,1
Daylight,0.4666666666666667,147,2014-04-29,5593,Daylight,9,31,32,0,0,2046,2488,49.64582063353278,19,1,1398729600,0
Dead Cells,0.9,196,2017-05-10,26855,Dead Cells,8,31,32,0,0,11960,39329,84.29181102869612,454,1,1494374400,0
Dead Rising 3,0.8666666666666666,294,2013-11-22,3199,Dead Rising 3,12,31,0,0,0,1010,1611,67.91591350030343,116,1,1385078400,1
Dead Space,0.9211538461538462,5096,2008-10-14,37,Dead Space,5,9,0,0,0,11,1,85.75905034999903,1012,1,1223942400,0
Dead Space,0.9211538461538462,5096,2008-10-14,131931,Dead Space,5,31,0,0,0,3956,1,73.71937343918592,16,1,1295913600,0
Dead Space,0.9211538461538462,5096,2008-10-14,159119,Dead Space,5,12,31,0,0,12478,1,83.42486332109628,80,1,1674777600,0
Dead or Alive 5 Ultimate,0.8,98,2013-09-03,7286,Dead or Alive 5 Ultimate,4,0,0,0,0,858,769,76.72854625760824,9,1,1378166400,0
Deadly Creatures,0.65,196,2009-02-09,4799,Deadly Creatures,4,8,14,25,0,197,563,72.28861459440392,5,1,1234137600,0
Deadpool,0.5230769230769231,637,2013-06-25,1919,Deadpool,5,25,31,0,0,434,1099,70.17702805655506,164,1,1372118400,1
Death's Door,1.0,49,2021-07-20,145099,Death's Door,12,25,31,32,0,634,5120,81.53457035112544,114,1,1626739200,0
DeathSpank: Thongs of Virtue,0.8,49,2010-09-21,2250,DeathSpank: Thongs of Virtue,12,25,31,32,0,1051,1,77.823911941105,12,1,1284940800,1
Deathloop,0.6,98,2021-09-14,113598,Deathloop,5,31,0,0,0,16565,19,82.5958722830268,150,1,1631577600,1
Dementium: The Ward,0.85,196,2007-10-31,21238,Dementium: The Ward,5,31,0,0,0,4496,2239,75,4,1,1193788800,0
Descent,0.8,98,1995-02-28,1872,Descent,5,13,0,0,0,904,120,73.994839933378,58,1,788832000,0
Descent II,0.8,98,1996-03-13,668,Descent II,5,13,0,0,0,506,120,70.4203065809942,18,1,826675200,0
Desktop Dungeons,1.0,98,2013-11-07,8998,Desktop Dungeons,9,12,16,31,32,5053,,75.2626625841496,11,1,1383782400,0
Destiny,0.6926829268292682,2009,,1939,Destiny,5,12,0,0,0,620,66,72.41067630622419,411,1,1410220800,1
Destroy All Humans! Path of the Furon,0.6,98,2008-12-01,2717,Destroy All Humans! Path of the Furon,5,31,0,0,0,197,1279,79.38620554249484,6,1,1228089600,1
Detention,0.8,98,2017-01-12,26776,Detention,2,9,12,31,32,11927,11926,75.34782008273078,54,1,1484179200,0
Deus Ex,0.7454545454545454,539,,41,Deus Ex,5,12,31,0,0,73,378,87.02116193332628,711,1,961977600,0
Deus Ex: Human Revolution,0.8447761194029851,3283,2011-08-23,43,Deus Ex: Human Revolution,5,9,12,0,0,26,27,83.90195198724756,893,1,1314057600,0
Devil May Cry,0.9,98,2001-08-23,134,Devil May Cry,25,0,0,0,0,37,663,81.32557274608959,302,1,998524800,0
Devil May Cry,0.9,98,2001-08-23,222654,Devil May Cry,25,0,0,0,0,37,663,79.30890863055603,19,1,1332374400,0
Devil May Cry 2,0.4,98,2003-01-25,135,Devil May Cry 2,25,31,0,0,0,37,660,55.07206091495653,183,1,1043452800,0
Devil May Cry 2,0.4,98,2003-01-25,222655,Devil May Cry 2,25,31,0,0,0,37,660,48.45272693348585,13,1,1332374400,0
Devil May Cry 3: Dante's Awakening,0.8,1078,2005-03-01,136,Devil May Cry 3: Dante's Awakening,5,25,31,0,0,660,37,83.83463622888223,313,1,1108598400,0
Diablo II: Lord of Destruction,1.0,98,2001-06-29,246,Diablo II: Lord of Destruction,12,25,0,0,0,51,59,89.13664719561726,321,1,993600000,1
Diablo III: Reaper of Souls,0.8,294,2014-03-25,3182,Diablo III: Reaper of Souls,12,25,31,0,0,51,26,82.09619886243216,309,1,1395705600,1
Dick Tracy,0.4,392,,13058,Dick Tracy,5,8,33,0,0,617,23993,65.83304154832625,18,1,654652800,0
Disco Elysium,0.8,98,2019-10-15,26472,Disco Elysium,12,31,0,0,0,15094,,94.91253819865011,600,1,1571097600,0
Discworld Noir,1.0,49,,8293,Discworld Noir,2,31,0,0,0,4231,205,92.29030424825227,22,1,931132800,0
Disgaea DS,0.8,147,2008-09-23,21056,Disgaea DS,12,15,16,24,0,2262,1405,79.95730353012229,6,1,1214438400,0
Disney's The Little Mermaid,0.8666666666666666,294,1991-07-19,19900,Disney's The Little Mermaid,8,0,0,0,0,37,,69.69260764876783,23,1,679881600,0
Dissidia 012 Final Fantasy,0.9,98,2011-03-22,24288,Dissidia 012 Final Fantasy,4,12,31,0,0,26,93,79.93426661805665,25,1,1299110400,0
Donkey Kong,0.825,784,1981-07-09,1086,Donkey Kong,8,33,0,0,0,70,33050,71.19043069584444,187,1,363484800,0
